boutique_villas

Angel Beach: 11 Rooms, Location: Negombo, Web: https://www.angelbeachclub.com, Email: bandulakl@gmail.com, Registration No: SLTDA/SQA/BV/00051, Licence No: BV/2024/0018, Valid till 31st December 2024, Tel: 0112689279
Aprota Villas Arugambay: 10 Rooms, Location: Arugam Bay, Web: www.aprota.com, Email: roshan@aprota.com, Registration No: SLTDA/SQA/BV/00053, Licence No: BV/2024/0009, Valid till 31st December 2024, Tel: 0115939950
Castlereagh Bungalow: 5 Rooms, Location: Hatton, Web: www.resplendentceylon.com/teatrails, Email: castlereagh@resplendentceylon.com, Registration No: SLTDA/SQA/BV/006, Licence No: BV/2024/0032, Valid till 31st December 2024, Tel: 0117745730
Clingendael: 5 Rooms, Location: Kandy, Web: www.theclingendael.com, Email: mahaannie1@gmail.com, Registration No: SLTDA/SQA/BV/019, Licence No: BV/2024/0035, Valid till 31st December 2024, Tel: 0814927372
Coco Bay: 8 Rooms, Location: Unawatuna, Web: www.cocobayunawatuna.com, Email: info@cocobayunawatuna.com, Registration No: SLTDA/SQA/BV/034, Licence No: BV/2024/0006, Valid till 31st December 2024, Tel: 0777998585
Dunkeld Bungalow: 5 Rooms, Location: Hatton, Web: www.resplendentceylon.com, Email: dunkeld@resplendentceylon.com, Registration No: SLTDA/SQA/BV/00044, Licence No: BV/2024/0030, Valid till 31st December 2024, Tel: 0117745730
Ellerton Hotel: 5 Rooms, Location: Kandy, Web: http://www.ellertonsrilanka.com/, Email: ellertonbunglow@gmail.com, Registration No: SLTDA/SQA/BV/025, Licence No: BV/2024/0034, Valid till 31st December 2024, Tel: 0812415137
Eraeliya Villas And Gardens: 7 Rooms, Location: Weligama, Email: egorkinalive@gmail.com, Registration No: SLTDA/SQA/BV/00042, Licence No: BV/2024/0016, Valid till 31st December 2024, Tel: 0412250461
Halcyon Mawella: 10 Rooms, Location: Tangalle, Web: www.halcyonmawella.com, Email: alexcombe@mac.com, Registration No: SLTDA/SQA/BV/00060, Licence No: BV/2024/0022, Valid till 31st December 2024, Tel: 0472030888
Indisch Villa: 5 Rooms, Location: Galle, Web: www.indischsrilanka.com, Email: info@indischsrilanka.com, Registration No: SLTDA/SQA/BV/036, Licence No: BV/2024/0033, Valid till 31st December 2024, Tel: 0912283541
Kahanda Kanda: 6 Rooms, Location: Galle, Website: http://www.kahandakanda.com/, Email: operations@kahandakanda.com, Registration No: SLTDA/SQA/BV/005, Licence No: BV/2024/0012, Valid till 31st December 2024, Tel: 0914943700
Kings Pavilion: 9 Rooms, Location: Kandy, Website: www.kingspavilion.com, Email: Sanjeewa@trowide.lk, Registration No: SLTDA/SQA/BV/00049, Licence No: BV/2024/0013, Valid till 31st December 2024, Tel: 0812236400
Lake Lodge Boutique Hotel: 6 Rooms, Location: Kandalama, Website: lakelodgekandalama.com, Email: lakelodgekandalama@gmail.com, Registration No: SLTDA/SQA/BV/037, Licence No: BV/2024/0020, Valid till 31st December 2024, Tel: 0667429930
Lunuganga Estate: 9 Rooms, Location: Bentota, Website: www.teardrop-hotels.com, Email: accounts@lunuganga.com, Registration No: SLTDA/SQA/BV/00057, Licence No: BV/2024/0007, Valid till 31st December 2024, Tel: 0343124299
Mount Batten Bungalow: 3 Rooms, Location: Nuwara Eliya, Website: www.mountbattenbungalow.com, Email: nanda@connaissance.lk, Registration No: SLTDA/SQA/BV/00038, Licence No: BV/2024/0008, Valid till 31st December 2024, Tel: 0114706406
Mount Havana Luxury Boutique Villa: 5 Rooms, Location: Kandy, Website: www.mounthavana.com, Email: saman@hsenid.com, Registration No: SLTDA/SQA/BV/035, Licence No: BV/2024/0005, Valid till 31st December 2024, Tel: 0112699754
Norwood Bungalow: 5 Rooms, Location: Hatton, Website: www.resplendentceylon.com/teatrails, Email: norwood@resplendentceylon.com, Registration No: SLTDA/SQA/BV/009, Licence No: BV/2024/0026, Valid till 31st December 2024, Tel: 0117745730
Oliphant Bungalow: 7 Rooms, Location: Nuwara Eliya, Website: www.amayaresorts.com, Email: manager@oliphantbungalow.com, Registration No: SLTDA/SQA/BV/00054, Licence No: BV/2024/0015, Valid till 31st December 2024, Tel: 0522224192
Reef Sri Lanka: 7 Rooms, Location: Wadduwa, Website: https://www.reefvilla.com/, Email: brendan@reefvilla.com, Registration No: SLTDA/SQA/BV/026, Licence No: BV/2024/0029, Valid till 31st December 2024, Tel: 0382284442
Rosyth Estate House: 7 Rooms, Location: Kegalle, Website: www.rosyth.lk, Email: accounts@rosyth.lk, Registration No: SLTDA/SQA/BV/00039, Licence No: BV/2024/0001, Valid till 31st December 2024, Tel: 0112501305
Stafford Bungalow: 6 Rooms, Location: Nuwara Eliya, Web: http://www.staffordbungalow.com/, Email: imtiaz@hemas.com, Registration No: SLTDA/SQA/BV/00058, Licence No: BV/2024/0004, Valid till 31st December 2024, Tel: 0522265286
Summerville: 5 Rooms, Location: Hatton, Web: www.resplendentceylon.com/teatrails, Email: summerville@resplendentceylon.com, Registration No: SLTDA/SQA/BV/00045, Licence No: BV/2024/0031, Valid till 31st December 2024, Tel: 0117745730
Taru Villas Maia: 10 Rooms, Location: Bentota, Web: www.taruvillas.com, Email: maia@taruvillas.com, Registration No: SLTDA/SQA/BV/00061, Licence No: BV/2024/0024, Valid till 31st December 2024
Taru Villas Mawella: 9 Rooms, Location: Tangalle, Web: www.taruvillas.com, Email: taruvillasmawella@gmail.com, Registration No: SLTDA/SQA/BV/00055, Licence No: BV/2024/0025, Valid till 31st December 2024, Tel: 0472240660
The Kandy House: 9 Rooms, Location: Kandy, Web: www.thekandyhouse.com, Email: kandyanleisurepvt@outlook.com, Registration No: SLTDA/SQA/BV/003, Licence No: BV/2024/0023, Valid till 31st December 2024, Tel: 0777108688
The Postcard Galle: 8 Rooms, Location: Galle, Email: ratika.bansal@postcardresorts.com, Registration No: SLTDA/SQA/BV/00040, Licence No: BV/2024/0028, Valid till 31st December 2024, Tel: 091222490
The Sun House: 6 Rooms, Location: Galle, Web: www.thesunhouse.com, Email: accounts@thesunhouse.com, Registration No: SLTDA/SQA/BV/012, Licence No: BV/2024/0003, Valid till 31st December 2024, Tel: 0914380275
The Villa Bentota By Kk Collection: 8 Rooms, Location: Bentota, Web: www.kkcollection.com, Email: manager@kkcollection.com, Registration No: SLTDA/SQA/BV/032, Licence No: BV/2024/0011, Valid till 31st December 2024, Tel: 0342275311
The Villa By Contemporary Ceylon: 7 Rooms, Location: Bentota, Web: WWW.CONTEMPORARYCEYLON.COM, Email: sales@contemporaryceylon.com, Registration No: SLTDA/SQA/BV/00059, Licence No: BV/2024/0021, Valid till 31st December 2024, Tel: 0382283993
Tientsin Bungalow: 6 Rooms, Location: Hatton, Web: www.resplendentceylon.com/teatrails, Email: tientsin@resplendentceylon.com, Registration No: SLTDA/SQA/BV/022, Licence No: BV/2024/0027, Valid till 31st December 2024, Tel: 0117745730
Uga Riva: 7 Rooms, Location: Unknown, Web: www.ugaescapes.com, Email: pcm@ugaescapes.com, Registration No: SLTDA/SQA/BV/00056, Licence No: BV/2024/0017, Valid till 31st December 2024, Tel: 0377136777
Villa Saffron: 5 Rooms, Location: Unknown, Web: www.villasaffron, Email: saffronoffice@gmail.com, Registration No: SLTDA/SQA/BV/00046, Licence No: BV/2024/0014, Valid till 31st December 2024, Tel: 0912277092
Warwick Garden: 5 Rooms, Location: Unknown, Web: www.jetwinghotels.com, Email: acc.warwick@jetwinghotels.com, Registration No: SLTDA/SQA/BV/021, Licence No: BV/2024/0002, Valid till 31st December 2024, Tel: 0522222445
Why House: 8 Rooms, Location: Unknown, Web: www.whyhousesrilanka.com, Email: client4378@gmail.com, Registration No: SLTDA/SQA/BV/020, Licence No: BV/2024/0010, Valid till 31st December 2024, Tel: 0912227599
Wild Grass Nature Resort: 8 Rooms, Location: Unknown, Web: www.wildgrass.lk, Email: wildgrasslk@gmail.com, Registration No: SLTDA/SQA/BV/029, Licence No: BV/2024/0019, Valid till 31st December 2024, Tel: 0773965577
